pool;zone;habitat;year;species;sex;replicate;number;Total_read;Reads_with_viral_hit;%_viral_reads;Map_on_Insecta;Map_on_bacteria;Assembled;Nb_of_contigs;Min_contigs_length;Max_contigs_length;Avg_contigs_length;Contigs_with_viral_hit
Cx_U1_21_F_1;U1;U;2021;Cx_quin;F;3;60;2.58E+06;6.90E+04;2.68;1842487;314123;366311;7086;201;40622;1419.03;191
Cx_U1_21_F_2;U1;U;2021;Cx_quin;F;3;60;4.19E+06;5.25E+04;1.25;2633233;572667;844043;8860;200;40622;1287.68;188
Cx_U1_21_F_3;U1;U;2021;Cx_quin;F;3;22;3.28E+06;3.17E+04;0.97;1635402;1126600;418977;2719;202;40622;1276.73;139
Cx_U2_21_F_1;U2;U;2021;Cx_quin;F;2;60;2.16E+06;8.53E+04;3.95;1210042;346692;549611;11792;202;102000;1286.68;155
Cx_U2_21_F_2;U2;U;2021;Cx_quin;F;2;52;2.29E+06;2.51E+04;1.1;1552325;473161;204944;3543;210;40622;1443.6;148
Cx_U3_21_F_1;U3;U;2021;Cx_quin;F;3;60;1.74E+06;7.88E+03;0.45;970400;581460;130773;3305;207;102000;1273;130
Cx_U3_21_F_2;U3;U;2021;Cx_quin;F;3;60;2.13E+06;3.69E+04;1.73;1414550;504333;157597;7087;200;102000;1499.86;143
Cx_U3_21_F_3;U3;U;2021;Cx_quin;F;3;66;1.79E+06;3.62E+04;2.02;949207;468212;336841;5418;203;63105;1291.4;225
Cx_U1_20_F_1;U1;U;2020;Cx_quin;F;5;90;1.62E+06;4.22E+04;2.6;1193541;191999;207401;6140;201;40622;1467.04;171
Cx_U1_20_F_2;U1;U;2020;Cx_quin;F;5;60;2.08E+06;4.52E+04;2.17;1250521;345617;434740;11464;201;40622;1264.76;242
Cx_U1_20_F_3;U1;U;2020;Cx_quin;F;5;90;2.84E+06;6.78E+04;2.39;2360580;155910;265735;6684;203;102000;1502.49;186
Cx_U1_20_F_4;U1;U;2020;Cx_quin;F;5;60;1.37E+06;5.20E+04;3.8;979312;129403;226101;7861;202;40622;1454.32;240
Cx_U1_20_F_5;U1;U;2020;Cx_quin;F;5;97;1.78E+06;3.06E+04;1.72;1265560;206371;250049;6957;203;40622;1439.49;181
Cx_U2_20_F_1;U2;U;2020;Cx_quin;F;2;31;4.22E+06;1.90E+05;4.51;2040093;750134;1338740;14550;200;63105;1205.83;215
Cx_U2_20_F_2;U2;U;2020;Cx_quin;F;2;52;2.20E+06;6.40E+04;2.9;1706980;169432;286598;6871;201;40622;1480.31;179
Cx_U3_20_F_1;U3;U;2020;Cx_quin;F;2;30;4.12E+06;5.86E+04;1.42;1714513;1125426;1135785;14754;200;102000;1133.83;192
Cx_U3_20_F_2;U3;U;2020;Cx_quin;F;2;18;3.33E+06;9.73E+04;2.92;2282091;351299;598703;15097;203;63105;1188.6;182
Cx_U1_19_F_1;U1;U;2019;Cx_quin;F;2;30;4.19E+06;4.42E+04;1.05;2950447;566480;564384;8380;207;40622;1348.71;176
Cx_U1_19_F_2;U1;U;2019;Cx_quin;F;2;47;2.67E+06;1.60E+05;6;965704;797018;852078;8822;205;63105;1427.92;218
Cx_R2_21_F_1;R2;R;2021;Cx_quin;F;2;30;3.42E+06;2.45E+04;0.72;1919409;618944;762872;10797;202;102000;1185.77;153
Cx_R2_21_F_2;R2;R;2021;Cx_quin;F;2;47;3.67E+06;6.11E+04;1.66;1810307;681694;1046879;10554;200;102000;1235.56;185
Cx_R1_21_F_1;R1;R;2021;Cx_quin;F;3;30;7.54E+06;1.52E+04;0.2;3515321;3218321;547053;6855;200;102000;1053.54;134
Cx_R1_21_F_2;R1;R;2021;Cx_quin;F;3;60;2.06E+06;2.13E+04;1.03;1681384;226909;107816;3315;209;40622;1576.33;122
Cx_R1_21_F_3;R1;R;2021;Cx_quin;F;3;46;5.07E+06;1.57E+04;0.31;3531215;1223199;199617;3457;207;102000;1268.7;109
Cx_R3_21_F_1;R3;R;2021;Cx_quin;F;2;30;4.70E+06;2.84E+04;0.6;1947318;1590886;1043181;7737;202;102000;1270.13;170
Cx_R3_21_F_2;R3;R;2021;Cx_quin;F;2;27;7.62E+02;1.70E+01;2.23;469;218;69;20;327;8619;2795.58;6
Cx_R1_20_F_1;R1;R;2020;Cx_quin;F;3;60;1.34E+06;1.08E+04;0.81;541350;622768;138294;2657;209;102000;1301.74;108
Cx_R1_20_F_2;R1;R;2020;Cx_quin;F;3;60;1.98E+06;2.23E+04;1.13;1724387;101039;108792;4490;200;40622;1583.94;142
Cx_R1_20_F_3;R1;R;2020;Cx_quin;F;3;52;2.13E+06;5.22E+04;2.45;1683300;87464;290831;10547;200;40622;1319.43;168
Cx_R2_20_F_1;R2;R;2020;Cx_quin;F;2;30;6.82E+06;4.16E+04;0.61;3574120;2384116;649340;4174;203;40622;1268.58;155
Cx_R2_20_F_2;R2;R;2020;Cx_quin;F;2;51;2.04E+06;2.21E+04;1.08;1206185;479023;303721;8881;206;40622;1321.77;137
Cx_R3_20_F_1;R3;R;2020;Cx_quin;F;2;31;4.80E+06;2.42E+04;0.5;3673075;607531;389207;6154;200;102000;1420.14;130
Cx_R3_20_F_2;R3;R;2020;Cx_quin;F;2;13;6.70E+06;4.30E+04;0.64;2735725;2754597;1035001;6471;203;102000;1219.34;155
Cx_R1_19_F_1;R1;R;2019;Cx_quin;F;1;17;4.33E+06;5.97E+02;0.01;1541850;2567270;91174;3307;254;40622;1016.57;32
Ae_U1_21_F_1;U1;U;2021;Ae_ae;F;2;60;2.49E+06;39968;1.61;2065087;153121;193642;2934;215;102000;1076.14;140
Ae_U1_21_F_2;U1;U;2021;Ae_ae;F;2;72;3.10E+06;9802;0.32;2841276;98204;61821;1362;213;15021;1054.15;78
Ae_U2_21_F_1;U2;U;2021;Ae_ae;F;3;32;7.65E+06;404;0.01;6825664;601232;82786;1651;200;102000;997.48;30
Ae_U2_21_F_2;U2;U;2021;Ae_ae;F;3;31;6.06E+06;83087;1.37;5288359;176008;444177;5880;215;102000;924.79;114
Ae_U2_21_F_3;U2;U;2021;Ae_ae;F;3;31;5.92E+06;47985;0.81;5379873;119130;254075;3773;230;63105;955.24;91
Ae_U3_21_F_1;U3;U;2021;Ae_ae;F;2;30;5.28E+06;72945;1.38;4648220;88480;395063;3211;215;63105;987.96;102
Ae_U3_21_F_2;U3;U;2021;Ae_ae;F;2;26;5.38E+06;77691;1.44;4679601;90393;478463;2515;213;16408;922.45;114
Ae_U1_20_F_1;U1;U;2020;Ae_ae;F;7;60;1.62E+06;104992;6.48;957007;86883;524376;4688;225;102000;998.61;222
Ae_U1_20_F_2;U1;U;2020;Ae_ae;F;7;60;2.99E+06;71985;2.41;2337145;90826;465120;2669;215;102000;1103.26;194
Ae_U1_20_F_3;U1;U;2020;Ae_ae;F;7;60;3.75E+06;78144;2.09;2703661;263088;668206;5020;223;102000;944.74;180
Ae_U1_20_F_4;U1;U;2020;Ae_ae;F;7;60;1.55E+06;20343;1.31;1341611;95231;74782;1823;236;102000;1137.88;110
Ae_U1_20_F_5;U1;U;2020;Ae_ae;F;7;60;2.20E+06;24184;1.1;2045827;26802;67123;2096;230;28364;983.56;129
Ae_U1_20_F_6;U1;U;2020;Ae_ae;F;7;60;1.49E+06;14846;1;1262636;117608;60310;1491;230;102000;1150.28;94
Ae_U1_20_F_7;U1;U;2020;Ae_ae;F;7;60;2.85E+06;149002;5.23;1379823;179400;1170172;7709;213;102000;903.83;278
Ae_U2_20_F_1;U2;U;2020;Ae_ae;F;3;60;2.87E+06;7833;0.27;2610344;66922;110110;9614;213;102000;865.11;92
Ae_U2_20_F_2;U2;U;2020;Ae_ae;F;3;60;8.00E+05;1475;0.18;752211;22804;2841;386;267;13087;1159.7;61
Ae_U2_20_F_3;U2;U;2020;Ae_ae;F;3;64;2.82E+06;58917;2.09;2252934;146365;310850;3470;225;102000;998.55;226
Ae_U3_20_F_1;U3;U;2020;Ae_ae;F;2;60;2.15E+06;67947;3.16;1695154;68186;313883;2001;222;40622;989.82;124
Ae_U3_20_F_2;U3;U;2020;Ae_ae;F;2;61;1.79E+06;82354;4.59;1244990;50733;423096;2225;215;102000;1008.58;153
Ae_U1_19_F_1;U1;U;2019;Ae_ae;F;2;30;3.79E+06;61245;1.61;2419408;407257;737959;4076;208;102000;947.84;194
Ae_U1_19_F_2;U1;U;2019;Ae_ae;F;2;27;3.36E+06;111089;3.3;2085691;203876;940649;3304;208;102000;1032.51;205
Ae_R2_21_F_1;R2;R;2021;Ae_ae;F;1;12;2.78E+06;2269;0.08;1175563;1465389;74823;1989;226;28364;917.88;39
Ae_R1_21_F_1;R1;R;2021;Ae_ae;F;1;25;5.41E+06;38011;0.7;4670441;272100;268943;5074;215;63105;912.59;88
Ae_R3_21_F_1;R3;R;2021;Ae_ae;F;1;27;4.44E+06;8410;0.19;4006325;226104;80521;3366;214;63105;977.68;74
Ae_R1_20_F_1;R1;R;2020;Ae_ae;F;2;30;3.91E+06;65571;1.68;2828618;481980;485497;3378;215;28364;964.98;115
Ae_R1_20_F_2;R1;R;2020;Ae_ae;F;2;21;2.51E+06;35893;1.43;2267188;42393;115305;2829;215;102000;1068.64;96
Ae_R2_20_F_1;R2;R;2020;Ae_ae;F;1;35;1.85E+06;9807;0.53;1669383;72645;36295;2572;215;8619;936.63;52
Ae_R3_20_F_1;R3;R;2020;Ae_ae;F;2;30;3.52E+06;16213;0.46;3335071;28671;49722;2577;240;63105;993.26;76
Ae_R3_20_F_2;R3;R;2020;Ae_ae;F;2;22;1.82E+06;36465;2.01;1161613;382827;221689;2244;223;11012;916.32;110
