VTU;species;sex;p;lcl;ucl
VTU1_Toti;Culex quinquefasciatus;F;0;0;0.002371852
VTU2_Xinmo;Culex quinquefasciatus;F;0;0;0.002371852
VTU3_Spinareo;Culex quinquefasciatus;F;0;0;0.002371852
VTU4_Mesoni;Culex quinquefasciatus;F;0;0;0.002371852
VTU5_Dicistro;Culex quinquefasciatus;F;0.001998975;0.000539801;0.005350528
VTU6_Qin;Culex quinquefasciatus;F;0;0;0.002371852
VTU7_Bunya_unclass;Culex quinquefasciatus;F;0.002025188;0.000543231;0.005456612
VTU8_Flavi;Culex quinquefasciatus;F;0.013353713;0.007930107;0.021746538
VTU9_Rhabdo;Culex quinquefasciatus;F;0.041493259;0.026991083;0.067558018
VTU10_Noda;Culex quinquefasciatus;F;0.034952019;0.022320794;0.056941706
VTU11_Nege;Culex quinquefasciatus;F;0.002038076;0.000544882;0.005510577
VTU12_Permutotetra;Culex quinquefasciatus;F;0.002102777;0.000553021;0.005785409
VTU13_Wolfram_unclass;Culex quinquefasciatus;F;0.021685391;0.013290589;0.035319232
VTU14_Virga;Culex quinquefasciatus;F;0.002032909;0.000544234;0.005488044
VTU15_Toli_unclass;Culex quinquefasciatus;F;0;0;0.002371852
VTU16_Spinareo;Culex quinquefasciatus;F;0.003568529;0.001343218;0.007935372
VTU17_Luteo_unclass;Culex quinquefasciatus;F;0.002763625;0.000912661;0.006633534
VTU18_Luteo_unclass;Culex quinquefasciatus;F;0;0;0.002371852
VTU19_Virga;Culex quinquefasciatus;F;0.039475002;0.025208213;0.065406725
VTU20_Martelli_unclass;Culex quinquefasciatus;F;0;0;0.002371852
VTU21_Luteo_unclass;Culex quinquefasciatus;F;0.003530736;0.001335104;0.007809375
VTU22_Toli_unclass;Culex quinquefasciatus;F;0;0;0.002371852
VTU23_Lefa_unclass;Culex quinquefasciatus;F;0.000664892;3.84E-05;0.00324889
VTU24_Noda;Culex quinquefasciatus;F;0;0;0.002371852
VTU25_Rhabdo;Culex quinquefasciatus;F;0.00514976;0.002311505;0.010194352
VTU26_Circo;Culex quinquefasciatus;F;0.001354224;0.000243615;0.004467476
VTU27_Rhabdo;Culex quinquefasciatus;F;0;0;0.002371852
VTU28_Nudi;Culex quinquefasciatus;F;0.0063217;0.002956858;0.012268573
VTU29_Ifla;Culex quinquefasciatus;F;0;0;0.002371852
VTU30_Nege;Culex quinquefasciatus;F;0.002047276;0.000546073;0.005547893
VTU31_Partiti;Culex quinquefasciatus;F;0;0;0.002371852
VTU32_Nege;Culex quinquefasciatus;F;0.003746839;0.001381402;0.008523003
VTU33_Orthomyxo;Culex quinquefasciatus;F;0.084783303;0.048642706;0.260420642
VTU34_Orthomyxo;Culex quinquefasciatus;F;0.084783303;0.048642706;0.260420642
VTU35_Mesoni;Culex quinquefasciatus;F;0.001337107;0.000242437;0.004375579
VTU36_Luteo;Culex quinquefasciatus;F;0.020077994;0.012547385;0.031863109
VTU37_Ifla;Culex quinquefasciatus;F;0.000664892;3.84E-05;0.00324889
VTU38_Phasma;Culex quinquefasciatus;F;0.026238556;0.016919152;0.041063572
VTU39_Parvo;Culex quinquefasciatus;F;0;0;0.002371852
VTU40_Rhabdo;Culex quinquefasciatus;F;0.046750299;0.030433752;0.077515406
VTU41_Tombus;Culex quinquefasciatus;F;0.003569855;0.001343513;0.007939521
VTU42_Partiti;Culex quinquefasciatus;F;0.056770587;0.036216801;0.101116321
VTU43_Partiti;Culex quinquefasciatus;F;0.056770587;0.036216801;0.101116321
VTU44_Partiti;Culex quinquefasciatus;F;0.056770587;0.036216801;0.101116321
VTU45_Phenui;Culex quinquefasciatus;F;0;0;0.002371852
VTU46_Ifla;Culex quinquefasciatus;F;0;0;0.002371852
VTU47_Phenui;Culex quinquefasciatus;F;0.068635673;0.042984336;0.134675462
VTU1_Toti;Culex quinquefasciatus;M;0;0;0.001581407
VTU2_Xinmo;Culex quinquefasciatus;M;0;0;0.001581407
VTU3_Spinareo;Culex quinquefasciatus;M;0.013783753;0.008844559;0.021053259
VTU4_Mesoni;Culex quinquefasciatus;M;0.002271436;0.000849668;0.005041314
VTU5_Dicistro;Culex quinquefasciatus;M;0.002289617;0.000853571;0.005100437
VTU6_Qin;Culex quinquefasciatus;M;0;0;0.001581407
VTU7_Bunya_unclass;Culex quinquefasciatus;M;0.002774118;0.001142179;0.005792822
VTU8_Flavi;Culex quinquefasciatus;M;0.020051912;0.013550512;0.029578396
VTU9_Rhabdo;Culex quinquefasciatus;M;0.083458255;0.124412576;1
VTU10_Noda;Culex quinquefasciatus;M;0.019643275;0.013331192;0.028816854
VTU11_Nege;Culex quinquefasciatus;M;0.016079917;0.010702841;0.023836919
VTU12_Permutotetra;Culex quinquefasciatus;M;0;0;0.001581407
VTU13_Wolfram_unclass;Culex quinquefasciatus;M;0.048859177;0.033419876;0.07934226
VTU14_Virga;Culex quinquefasciatus;M;0.001797983;0.000586013;0.004342418
VTU15_Toli_unclass;Culex quinquefasciatus;M;0.003822024;0.001794098;0.007309206
VTU16_Spinareo;Culex quinquefasciatus;M;0.016944204;0.011152076;0.025467237
VTU17_Luteo_unclass;Culex quinquefasciatus;M;0.002295628;0.000854872;0.005119647
VTU18_Luteo_unclass;Culex quinquefasciatus;M;0.001330265;0.000351332;0.003616789
VTU19_Virga;Culex quinquefasciatus;M;0.059029808;0.03924518;0.10947247
VTU20_Martelli_unclass;Culex quinquefasciatus;M;0.001311291;0.000348927;0.00353825
VTU21_Luteo_unclass;Culex quinquefasciatus;M;0.003312841;0.001463784;0.00660927
VTU22_Toli_unclass;Culex quinquefasciatus;M;0;0;0.001581407
VTU23_Lefa_unclass;Culex quinquefasciatus;M;0;0;0.001581407
VTU24_Noda;Culex quinquefasciatus;M;0.000429115;2.49E-05;0.002076153
VTU25_Rhabdo;Culex quinquefasciatus;M;0.006482589;0.003666371;0.010808987
VTU26_Circo;Culex quinquefasciatus;M;0.003810131;0.001790435;0.007277952
VTU27_Rhabdo;Culex quinquefasciatus;M;0;0;0.001581407
VTU28_Nudi;Culex quinquefasciatus;M;0.007976602;0.004671597;0.012993543
VTU29_Ifla;Culex quinquefasciatus;M;0.000431913;2.49E-05;0.002100707
VTU30_Nege;Culex quinquefasciatus;M;0.006077929;0.003321988;0.010421541
VTU31_Partiti;Culex quinquefasciatus;M;0;0;0.001581407
VTU32_Nege;Culex quinquefasciatus;M;0.006092126;0.003327492;0.010453819
VTU33_Orthomyxo;Culex quinquefasciatus;M;0.083458255;0.124412576;1
VTU34_Orthomyxo;Culex quinquefasciatus;M;0.059029808;0.03924518;0.10947247
VTU35_Mesoni;Culex quinquefasciatus;M;0.002757392;0.001137938;0.005743964
VTU36_Luteo;Culex quinquefasciatus;M;0.065925592;0.042151597;0.152041664
VTU37_Ifla;Culex quinquefasciatus;M;0.002251423;0.00084527;0.004978548
VTU38_Phasma;Culex quinquefasciatus;M;0.059029808;0.03924518;0.10947247
VTU39_Parvo;Culex quinquefasciatus;M;0.001803044;0.000586894;0.004360692
VTU40_Rhabdo;Culex quinquefasciatus;M;0.083458255;0.124412576;1
VTU41_Tombus;Culex quinquefasciatus;M;0.010314976;0.00631649;0.016287849
VTU42_Partiti;Culex quinquefasciatus;M;0.083458255;0.124412576;1
VTU43_Partiti;Culex quinquefasciatus;M;0.083458255;0.124412576;1
VTU44_Partiti;Culex quinquefasciatus;M;0.083458255;0.124412576;1
VTU45_Phenui;Culex quinquefasciatus;M;0.000431913;2.49E-05;0.002100707
VTU46_Ifla;Culex quinquefasciatus;M;0;0;0.001581407
VTU47_Phenui;Culex quinquefasciatus;M;0.083458255;0.124412576;1
VTU1_Toti;Aedes aegypti;F;0.023158852;0.013476795;0.039595264
VTU2_Xinmo;Aedes aegypti;F;0.007545408;0.003391727;0.015042969
VTU3_Spinareo;Aedes aegypti;F;0.007994476;0.003519749;0.016307993
VTU4_Mesoni;Aedes aegypti;F;0;0;0.003270978
VTU5_Dicistro;Aedes aegypti;F;0.000921798;5.39E-05;0.004467175
