Pool;Year;Month;Site;Agency;Urbanization;Pipiens_number;Total read;Map on Diptera;UnMapped on Diptera;Map on bacteria;UnMapped on bacteria;Nb of contigs;Min contigs length;Max contigs length;Avg contigs length;Contigs with viral hit;Reads with viral hit;% viral reads;Nb viral family;Nb viral genus;Nb viral species
ARBO2019-97;2019;May;BE;Montcalm;Rural;90;1311372;1495861;991926;100369;891557;4261;200;21628;1225.54;565;117811;4.49;18;6;38
ARBO2019-98;2019;May;BE;Montcalm;Rural;60;1744322;3040162;274651;250975;23676;3554;202;22839;1347.04;192;5729;0.16;19;7;43
ARBO2019-99;2019;June;BE;Montcalm;Rural;90;1941505;1988233;1659046;872861;786185;7422;200;22839;1129.4;609;106764;2.75;24;12;61
ARBO2020-020;2020;June;BE;Montcalm;Rural;51;1024041;1407657;598550;235835;362715;3117;200;22839;1158.6;388;96752;4.72;20;14;50
ARBO2020-021;2020;September;BE;Montcalm;Rural;60;1514147;2812903;74799;69139;5660;1136;224;11618;1194.54;98;1841;0.06;10;5;19
ARBO2020-022;2020;September;BE;Montcalm;Rural;93;1018282;1849193;77180;62640;14540;1217;200;11539;1239.49;169;7600;0.37;14;3;24
ARBO2021-061;2021;May;BE;Montcalm;Rural;72;862727;1043184;557769;60369;497400;2080;200;12636;1012.97;450;109333;6.34;15;9;33
ARBO2021-062;2021;June;BE;Montcalm;Rural;67;1256465;2117274;213449;98777;114672;2281;200;11539;1222.48;337;39790;1.58;13;5;31
ARBO2021-063;2021;June;BE;Montcalm;Rural;68;2762784;4431985;800690;121886;678804;4146;200;14984;1135.74;563;143806;2.6;21;8;48
ARBO2021-064;2021;July;BE;Montcalm;Rural;66;1503886;2075567;811790;717817;93973;4611;224;14268;1243.85;178;22419;0.75;18;10;46
ARBO2021-065;2021;July;BE;Montcalm;Rural;63;2170047;3430283;783827;364891;418936;5300;200;22839;1116.45;553;115062;2.65;26;16;64
ARBO2021-066;2021;August;BE;Montcalm;Rural;85;573625;1075732;33377;19450;13927;683;200;22557;1190.53;235;8312;0.72;15;5;34
ARBO2021-067;2021;August;BE;Montcalm;Rural;90;1855012;2218932;1392548;151680;1240868;4580;200;22839;1071.17;774;263107;7.09;21;11;55
ARBO2021-068;2021;August;BE;Montcalm;Rural;57;1130664;1518537;634676;146316;488360;4365;200;22839;1112.02;387;99034;4.38;28;14;63
ARBO2019-52;2019;June;Beaucaire;Montcalm;Rural;90;2201267;863004;3205108;251772;2953336;7024;200;22839;1055.9;818;340800;7.74;24;14;68
ARBO2019-53;2019;June;Beaucaire;Montcalm;Rural;60;2687272;1926791;3102077;373704;2728373;8552;200;22839;1079.31;764;240086;4.47;24;16;57
ARBO2019-54;2019;July;Beaucaire;Montcalm;Rural;90;1882297;2283981;1229145;656389;572756;12765;200;22839;1019.68;347;69639;1.85;26;20;111
ARBO2019-55;2019;July;Beaucaire;Montcalm;Rural;90;1109340;885111;1202664;212475;990189;9068;200;22839;1087.12;722;142122;6.41;23;14;71
ARBO2019-56;2019;July;Beaucaire;Montcalm;Rural;60;1165455;1165630;980638;520372;460266;12113;200;22839;1010.28;285;71939;3.09;27;16;75
ARBO2019-57;2019;July;Beaucaire;Montcalm;Rural;60;1831013;325063;3124518;261178;2863340;5330;200;22839;1027.42;899;310825;8.49;24;17;66
ARBO2020-012;2020;June;Beaucaire;Montcalm;Rural;60;1614604;1800764;1321905;343179;978726;5669;200;14268;1025.11;684;249361;7.72;20;12;44
ARBO2020-013;2020;June;Beaucaire;Montcalm;Rural;60;1379570;2301367;385319;194703;190616;4532;200;22839;1199.43;544;73697;2.67;25;17;74
ARBO2020-014;2020;July;Beaucaire;Montcalm;Rural;48;1982335;2816236;1069756;478322;591434;6341;200;22839;985.76;763;171206;4.32;25;15;55
ARBO2020-015;2020;August;Beaucaire;Montcalm;Rural;60;984508;1636440;294854;96759;198095;2937;200;22839;1106.04;412;74064;3.76;18;10;48
ARBO2020-016;2020;September;Beaucaire;Montcalm;Rural;60;1419866;2196027;585004;179493;405511;3933;200;22557;1061.68;554;108646;3.83;19;6;41
ARBO2020-017;2020;September;Beaucaire;Montcalm;Rural;60;1438818;2617228;199720;90403;109317;2436;209;11539;1309.74;240;46892;1.63;17;7;29
ARBO2020-018;2020;September;Beaucaire;Montcalm;Rural;60;1371047;2086790;587804;79049;508755;3298;200;21628;1113.55;634;163753;5.97;22;9;39
ARBO2020-019;2020;September;Beaucaire;Montcalm;Rural;74;643617;398649;863049;17290;845759;1896;200;22839;1264.21;487;178334;13.85;18;8;42
ARBO2021-015;2021;June;Beaucaire;Montcalm;Rural;90;1825671;2151230;1278138;140084;1138054;2847;200;11539;987.4;613;221892;6.08;17;5;37
ARBO2021-016;2021;June;Beaucaire;Montcalm;Rural;60;3178391;5457003;531659;459545;72114;8576;211;22839;943.56;181;11786;0.19;22;14;71
ARBO2021-017;2021;June;Beaucaire;Montcalm;Rural;60;575991;962357;131391;31794;99597;1911;200;22839;1217.23;433;49243;4.27;21;13;60
ARBO2021-018;2021;July;Beaucaire;Montcalm;Rural;67;584159;557996;547242;72360;474882;2374;201;22557;1144.66;538;127856;10.94;22;12;49
ARBO2021-019;2021;August;Beaucaire;Montcalm;Rural;60;757348;978367;460038;129146;330892;3192;200;22839;1112.06;646;118619;7.83;24;13;67
ARBO2021-020;2021;August;Beaucaire;Montcalm;Rural;47;44226;26709;35356;10670;24686;159;205;22839;1454.27;85;1579;1.79;8;5;13
ARBO2021-021;2021;September;Beaucaire;Montcalm;Rural;60;493950;668637;259597;26190;233407;2113;200;22839;1182.71;368;54179;5.48;20;9;47
ARBO2019-79;2019;June;Bellegarde;Montcalm;Urban;92;1731301;2052427;1305860;136359;1169501;3956;200;21628;1174.83;662;128101;3.7;21;12;49
ARBO2019-80;2019;June;Bellegarde;Montcalm;Urban;64;1499528;1772078;1110355;756238;354117;5268;200;22839;1245.03;492;64526;2.15;19;11;48
ARBO2019-81;2019;July;Bellegarde;Montcalm;Urban;60;1220923;1583614;776665;313577;463088;7471;200;22839;1138.61;659;109220;4.47;25;14;63
ARBO2019-82;2019;July;Bellegarde;Montcalm;Urban;60;1987244;1658382;2197578;160085;2037493;7528;200;22839;1114.08;1005;275396;6.93;23;14;71
ARBO2019-83;2019;July;Bellegarde;Montcalm;Urban;90;2192655;2148682;2045462;381734;1663728;6438;200;22839;1079.5;920;197483;4.5;25;15;60
ARBO2019-84;2019;August;Bellegarde;Montcalm;Urban;90;1385295;1999773;654927;522738;132189;5000;209;22839;1214.48;337;42083;1.52;25;14;76
ARBO2020-023;2020;June;Bellegarde;Montcalm;Urban;43;2359211;2991919;1638856;492495;1146361;4517;200;22839;1090.83;672;228532;4.84;22;13;54
ARBO2020-024;2020;June;Bellegarde;Montcalm;Urban;56;612209;751131;446344;192051;254293;3506;200;22839;1096.03;665;92302;7.54;20;12;57
ARBO2020-025;2020;August;Bellegarde;Montcalm;Urban;60;897754;1445078;318089;95332;222757;5482;200;14984;1090.62;474;87020;4.85;23;12;57
ARBO2020-026;2020;August;Bellegarde;Montcalm;Urban;90;737401;1230756;218931;163868;55063;4295;219;22839;1115.12;189;18284;1.24;23;8;54
ARBO2020-027;2020;September;Bellegarde;Montcalm;Urban;60;811528;1129615;456989;185696;271293;3269;200;22839;1090.14;575;98091;6.04;22;9;51
ARBO2020-028;2020;September;Bellegarde;Montcalm;Urban;60;809270;1301521;298707;136797;161910;3505;200;22839;1221.19;474;64718;4;22;13;53
ARBO2020-029;2020;September;Bellegarde;Montcalm;Urban;43;900117;1206560;554889;147866;407023;5027;208;22557;935.63;238;97298;5.4;17;9;35
ARBO2021-031;2021;June;Bellegarde;Montcalm;Urban;90;2063045;2959930;874765;477168;397597;3656;200;11539;1229.52;501;107289;2.6;16;6;45
ARBO2021-032;2021;June;Bellegarde;Montcalm;Urban;90;1410885;2018819;559165;317452;241713;4009;200;11539;1222.09;447;68426;2.42;18;8;43
ARBO2021-033;2021;June;Bellegarde;Montcalm;Urban;90;1460676;1812216;965188;242342;722846;4690;200;22839;1170.07;513;196258;6.72;22;12;59
ARBO2021-034;2021;July;Bellegarde;Montcalm;Urban;60;307202;335210;243981;107437;136544;2220;208;22839;1246.05;377;52895;8.61;16;9;41
ARBO2021-035;2021;July;Bellegarde;Montcalm;Urban;52;716970;1083204;266741;135885;130856;3057;200;22839;1268.15;450;58338;4.07;21;8;51
ARBO2021-036;2021;August;Bellegarde;Montcalm;Urban;64;723652;866121;508484;52674;455810;2766;200;22839;1145.82;596;116090;8.02;20;11;45
ARBO2019-23;2019;May;Belugue;Arles;Rural;90;3628118;6372187;517656;437709;79947;9489;200;22839;1096.73;210;10816;0.15;26;12;55
ARBO2019-24;2019;May;Belugue;Arles;Rural;90;2711251;4294177;833453;647352;186101;10202;200;21628;1098.94;239;40300;0.74;23;11;49
ARBO2019-25;2019;May;Belugue;Arles;Rural;90;2390954;2363548;2178895;287591;1891304;9092;200;22839;1074.08;720;227392;4.76;24;15;56
ARBO2019-26;2019;June;Belugue;Arles;Rural;90;1790603;897113;2509004;12702;2496302;3303;200;14268;970.39;756;286866;8.01;19;7;36
ARBO2019-27;2019;June;Belugue;Arles;Rural;90;2721789;3966062;1231881;457423;774458;9631;200;22839;1023.82;649;111342;2.05;23;10;67
ARBO2019-28;2019;June;Belugue;Arles;Rural;90;3085935;4323775;1551361;628260;923101;13052;200;22839;972.66;762;148501;2.41;28;15;71
ARBO2020-051;2020;June;Belugue;Arles;Rural;62;503336;548609;439042;44701;394341;1451;200;21628;977.89;480;80088;7.96;15;5;25
ARBO2020-052;2020;June;Belugue;Arles;Rural;31;894;1138;595;254;341;89;234;11370;1745.73;72;296;16.55;9;4;13
ARBO2020-053;2020;July;Belugue;Arles;Rural;20;679911;56633;1279818;1260800;19018;1601;270;14984;692.02;40;137;0.01;10;6;15
ARBO2020-054;2020;August;Belugue;Arles;Rural;26;1378778;1905375;789165;57087;732078;3015;200;22839;1155.13;525;126139;4.57;21;11;48
ARBO2020-055;2020;September;Belugue;Arles;Rural;28;2118817;3590019;516940;127834;389106;6119;200;22839;1103.59;544;116056;2.74;24;14;57
ARBO2021-088;2021;May;Belugue;Arles;Rural;60;822847;1415435;127573;79589;47984;1073;200;22839;1358.97;275;23753;1.44;18;7;40
ARBO2021-089;2021;May;Belugue;Arles;Rural;60;1675984;2083099;1047656;257964;789692;3298;200;22839;986.33;581;181262;5.41;19;8;37
ARBO2021-090;2021;May;Belugue;Arles;Rural;67;2285943;3434785;801318;485867;315451;4166;200;22839;1173.08;422;85178;1.86;18;7;44
ARBO2021-091;2021;June;Belugue;Arles;Rural;60;2701197;4826424;208765;189414;19351;1914;224;10193;1100.62;83;5516;0.1;15;6;34
ARBO2021-092;2021;June;Belugue;Arles;Rural;79;1130;1682;400;142;258;78;224;14268;1581.03;58;227;10.04;6;2;8
ARBO2021-093;2021;July;Belugue;Arles;Rural;50;1346605;2526225;89484;62236;27248;2539;203;22839;1080.47;136;9673;0.36;18;6;35
ARBO2019-17;2019;June;BF;Arles;Urban;60;1193643;1984847;147975;56004;91971;3991;201;22839;1272.11;203;18641;0.78;19;11;48
ARBO2019-18;2019;June;BF;Arles;Urban;60;1408124;1216725;1399129;678985;720144;4241;200;22839;1067.83;406;160642;5.7;20;9;48
ARBO2019-19;2019;June;BF;Arles;Urban;60;2130984;2731504;1244466;67287;1177179;7612;200;22839;1094.08;748;183026;4.29;22;10;45
ARBO2019-20;2019;July;BF;Arles;Urban;60;1442936;1103280;1601345;234910;1366435;6328;200;22839;1119.6;670;273185;9.47;21;10;62
ARBO2019-21;2019;July;BF;Arles;Urban;60;633850;547418;658967;162855;496112;5730;200;22839;950.99;539;143071;11.29;23;12;60
ARBO2019-22;2019;July;BF;Arles;Urban;60;2827474;3927592;1474763;604497;870266;9664;200;22839;1030.73;459;195052;3.45;24;14;67
ARBO2020-076;2020;June;BF;Arles;Urban;60;1314981;173782;2417748;617034;1800714;2978;200;14268;1205.45;759;225236;8.56;20;8;33
