Library;Month;Year;Urbanization;sample_group_pa
ARBO2019_August_Rural_Desert_Montpellier;August;2019;Rural;A1
ARBO2019_August_Rural_PS_Montcalm_1;August;2019;Rural;A1
ARBO2019_August_Rural_PS_Montcalm_2;August;2019;Rural;A1
ARBO2019_August_Urban_Bellegarde_Montcalm;August;2019;Urban;A1
ARBO2019_July_Rural_Desert_Montpellier;July;2019;Rural;A1
ARBO2019_July_Rural_PS_Montcalm_1;July;2019;Rural;A1
ARBO2019_July_Rural_PS_Montcalm_3;July;2019;Rural;A1
ARBO2019_July_Rural_SG_Montcalm_3;July;2019;Rural;A1
ARBO2019_July_Urban_Bellegarde_Montcalm_1;July;2019;Urban;A1
ARBO2019_July_Urban_Bellegarde_Montcalm_3;July;2019;Urban;A1
ARBO2019_July_Urban_BF_Arles_1;July;2019;Urban;A1
ARBO2019_July_Urban_BF_Arles_3;July;2019;Urban;A1
ARBO2019_July_Urban_CE_Arles;July;2019;Urban;A1
ARBO2019_July_Urban_Jardin_Arles_1;July;2019;Urban;A1
ARBO2019_July_Urban_Jardin_Arles_2;July;2019;Urban;A1
ARBO2019_July_Urban_PN_Arles_2;July;2019;Urban;A1
ARBO2019_September_Rural_SG_Montcalm_1;September;2019;Rural;A1
ARBO2019_September_Rural_SG_Montcalm_2;September;2019;Rural;A1
ARBO2019_September_Urban_JB_Montcalm_1;September;2019;Urban;A1
ARBO2021_August_Rural_BE_Montcalm_1;August;2021;Rural;A1
ARBO2021_August_Rural_BE_Montcalm_2;August;2021;Rural;A1
ARBO2021_August_Rural_Beaucaire_Montcalm_2;August;2021;Rural;A1
ARBO2021_August_Rural_Desert_Montpellier_2;August;2021;Rural;A1
ARBO2021_August_Rural_PS_Montcalm_1;August;2021;Rural;A1
ARBO2021_August_Rural_PS_Montcalm_2;August;2021;Rural;A1
ARBO2021_August_Rural_PS_Montcalm_3;August;2021;Rural;A1
ARBO2021_August_Rural_SG_Montcalm_1;August;2021;Rural;A1
ARBO2021_August_Rural_SG_Montcalm_2;August;2021;Rural;A1
ARBO2021_August_Rural_SG_Montcalm_3;August;2021;Rural;A1
ARBO2021_August_Urban_Bellegarde_Montcalm;August;2021;Urban;A1
ARBO2021_August_Urban_JB_Montcalm_2;August;2021;Urban;A1
ARBO2021_August_Urban_JB_Montcalm_3;August;2021;Urban;A1
ARBO2021_August_Urban_MA_Montcalm;August;2021;Urban;A1
ARBO2021_August_Urban_PN_Arles;August;2021;Urban;A1
