GLMM statistics;;;;;;;;;;;;;;;;;;;
;;Species;;;Sex;;;Habitat;;;Year;;;Interaction Species * Sex;;;Interaction Habitat * Year;;
;Diversity indices;Chisq;Df;Pr(>Chisq);Chisq;Df;Pr(>Chisq);Chisq;Df;Pr(>Chisq);Chisq;Df;Pr(>Chisq);Chisq;Df;Pr(>Chisq);Chisq;Df;Pr(>Chisq)
All libraries;Species richness;113.754;1;< 2.2e-16 ***;0.1624;1;0.686971;40.6311;1;1.839e-10 ***;0.438;1;0.508101;2.7573;1;0.096809 .  ;9.8437;1; 0.001704 **
;Shannon;82.5961;1;< 2.2e-16 ***;3.5649;1;0.0590133 . ;11.7803;1;0.0005986 ***;0.8944;1;0.3442906;4.8141;1;0.0282270 *;4.3247;1;0.0375624 *
;InvSimpson;39.614;1;3.094e-10 ***;1.2804;1;0.2578193;5.8237;1;0.0158115 *;0.3884;1;0.5331327;3.0637;1;0.0800601 .;2.0723;1;0.1499915
Culex quinquefasciatus libraries;Species richness;;;;48.9351;1;2.646e-12 ***;56.4648;1;5.721e-14 ***;0.2579;1;0.611591;;;;8.8201;1; 0.002979 ** 
;Shannon;;;;4.1304;1;0.042121 *;7.5692;1;0.005937 **;0.3708;1;0.542553;;;;1.6103;1;0.204446
;InvSimpson;;;;4.3545;1;0.03691 *;3.4179;1;0.06449 .;0.1771;1;0.6739;;;;0.9537;1;0.32878
Aedes aegypti libraries;Species richness;;;;0.0373;1;0.8468763;13.5587;1;0.0002312 ***;0.1193;1;0.729751;;;;4.898;1;0.0268884 * 
;Shannon;;;;2.2387;1;0.134595;10.04;1;0.001532 **;1.1687;1;0.279661;;;;6.803;1;0.009100 **
;InvSimpson;;;;2.7842;1;0.095197 .;8.9817;1;0.002727 **;0.2957;1;0.58662;;;;3.7004;1; 0.054401 .
;;;;;;;;;;;;;;;;;;;
emmeans;;;;;;;;;;;;;;;;;;;
;;Species richness;;;;;Shannon;;;;;InvSimpson;;;;;;;
;contrast;estimate;SE;df;t.ratio;p.value;ratio;SE;df;t.ratio;p.value;ratio;SE;df;t.ratio;p.value;;;
All librairies;Ae. aegypti Female / Cx. quinquefasciatus Female;-0.9868;0.0925;106;-10.666;<.0001;0.414;0.0402;106;-9.088;<.0001;0.419;0.0579;106;-6.294;<.0001;;;
;Ae. aegypti Female / Ae. aegypti Male;-0.0436;0.1081;106;-0.403;0.9778;1.335;0.2044;106;1.888;0.2393;1.266;0.2644;106;1.132;0.6709;;;
;Ae. aegypti Female / Cx. quinquefasciatus Male;-1.2249;0.0953;106;-12.851;<.0001;0.391;0.0371;106;-9.901;<.0001;0.361;0.0493;106;-7.454;<.0001;;;
;Cx. quinquefasciatus Female / Ae. aegypti Male;0.9433;0.0888;106;10.627;<.0001;3.222;0.4124;106;9.138;<.0001;3.026;0.5269;106;6.358;<.0001;;;
